DOI,PMCID,PMID,URL,associatedDataset,authors,has_correction,has_prePrint,id,journal,name,program,programPhase,project,publicationDate,publicationType,title,year
TBD,TBD,TBD,https://www.synapse.org/Home:x,syn71763726,,,syn71763792,syn71763793,TBD,Gurajala STM 2025 TBD,AMP RA/SLE,II,SLE,,peer-reviewed,A population-scale atlas of blood and tissue in lupus nephritis,TBD
TBD,TBD,TBD,,,,,,syn74439147,Nature Communications,Lu Nat Commun 2026 TBD,AMP RA/SLE,II,SLE,TBD,peer-reviewed,"Serum proteomic atlas reveals distinct molecular signatures of lupus nephritis activity, chronicity, and treatment response",TBD
,TBD,TBD,,syn73913936,,,,syn76129586,,McCoy ARD 2026 TBD,AMP AIM,,LSP,,,Sjögren’s Disease Salivary Gland Fibroblast Subsets are Proinflammatory and Aberrantly Promote Pain,
TBD,TBD,TBD,,,,,,syn76310975,,Raparia ARD TBD,AMP RA/SLE,II,SLE,,,Spatially Distinct Macrophage Subsets Drive Myofibroblast Heterogeneity and Maladaptive Fibrosis in Lupus Nephritis,TBD
